code,name,Marcap,current_price,1W,1M,3M,6M,1Y,2Y,YTD,3Y,4Y,sector_name
425040,티이엠씨,205636783240,9380,-1.5739769150052465,-28.177641653905056,-25.37788385043755,9.579439252336448,37.5366568914956,-32.028985507246375,22.61437908496732,-64.1300191204589,,반도체와반도체장비
112290,와이씨켐,187853926100,9290,-7.007007007007007,-14.377880184331799,-20.801364023870416,-15.38391474633391,-10.492340302533963,-1.7347154643537126,-8.056215360253365,37.081304411981705,16.081469448956643,반도체와반도체장비
045300,성우테크론,26420265060,2505,1.6227180527383367,-3.4682080924855487,-21.5962441314554,-19.71153846153846,-18.853255587949466,-17.787988185100097,-14.65076660988075,-48.520345252774355,-45.29373225595108,반도체와반도체장비
005935,삼성전자우,153333136893300,191100,11.104651162790697,-5.62962962962963,24.333116460637605,71.69811320754717,246.82395644283122,190.4255319148936,114.23766816143497,227.78730703259006,240.03558718861208,반도체와반도체장비
451220,아이엠티,72840151750,9250,-1.8046709129511678,-27.165354330708663,-39.70013037809648,-2.3231256599788805,-7.684630738522954,-39.34426229508197,-3.8461538461538463,,,반도체와반도체장비
083310,엘오티베큠,148713775550,8350,-5.756207674943567,-10.980810234541579,-48.552064078866294,-32.113821138211385,-24.910071942446045,-35.76923076923077,-32.66129032258064,-57.57113821138211,-32.113821138211385,반도체와반도체장비
146320,비씨엔씨,129770939220,10140,-6.629834254143646,-22.831050228310502,-42.87323943661972,-25.276344878408253,7.872340425531915,-35.86337760910816,-25.276344878408253,-52.28235294117647,-42.05714285714286,반도체와반도체장비
080580,오킨스전자,271440590850,12870,-2.941176470588235,-14.428191489361703,-42.67260579064588,17.965169569202565,96.4885496183206,81.52327221438645,24.951456310679614,87.88321167883211,-37.675544794188866,반도체와반도체장비
424980,마이크로투나노,40840341000,6900,0.8771929824561403,-14.285714285714285,-54.18326693227091,-47.72727272727273,-11.538461538461538,-28.050052137643377,-15.956151035322778,-65.23929471032746,,반도체와반도체장비
074600,원익QnC,726863200000,27650,-4.655172413793104,-19.738751814223512,-29.01155327342747,12.857142857142856,52.09020902090209,-13.72854914196568,28.904428904428904,-3.9930555555555554,10.379241516966067,반도체와반도체장비
083450,GST,803548000000,43600,-2.787068004459309,-12.449799196787147,-1.8018018018018018,67.6923076923077,134.15682062298603,143.4394193188163,51.12651646447141,196.94204181706735,293.67945823927766,반도체와반도체장비
033640,네패스,435588325780,18890,-4.257475924987329,-35.52901023890785,-45.483405483405484,19.632678910702978,75.72093023255813,47.003891050583654,21.08974358974359,-11.728971962616823,-2.6288659793814433,반도체와반도체장비
058470,리노공업,5632055715000,73900,2.2130013831258646,-12.956419316843345,-40.59485530546624,7.5691411935953425,58.074866310160424,76.59147390556299,22.553897180762853,128.24844797232603,176.88272761333832,반도체와반도체장비
142210,유니트론텍,117245426950,5650,3.2906764168190126,-0.7029876977152899,-3.2534246575342465,-16.911764705882355,-13.871951219512196,-4.5608108108108105,-7.528641571194762,25.0,47.51958224543081,반도체와반도체장비
052900,KX하이텍,87554958780,1142,-4.194630872483222,-7.154471544715448,-12.890922959572846,24.130434782608695,14.65863453815261,5.838739573679333,26.048565121412803,-11.472868217054263,-20.13986013986014,반도체와반도체장비
166090,하나머티리얼즈,1081838767800,54700,0.18315018315018314,-10.180623973727423,-23.174157303370787,0.7366482504604052,121.01010101010101,6.007751937984496,26.91415313225058,17.256162915326904,27.505827505827508,반도체와반도체장비
217500,러셀,46763640000,1470,6.444605358435916,-3.9215686274509802,-49.57118353344768,-63.387297633872976,-16.38225255972696,-35.526315789473685,-22.55005268703899,-62.40409207161125,-58.82352941176471,반도체와반도체장비
036200,유니셈,241327435010,7870,-7.083825265643448,-17.245005257623554,-33.417935702199664,-16.008537886872997,14.38953488372093,-13.516483516483516,-18.530020703933747,-16.187433439829608,5.07343124165554,반도체와반도체장비
